names,edges,distance,weighting
"('Menagerie', 'Virtual Hideout')","(11, 36)",0.0383563221700694,1.0
"('Menagerie', 'DNA VR')","(11, 37)",0.027241051631295535,1.0
"('Menagerie', 'Sken Studios')","(11, 38)",0.2779681515823423,1.0
"('Menagerie', 'Cork and Canvas')","(11, 39)",0.06703717568462579,1.0
"('Menagerie', 'Ma Lumiere')","(11, 40)",0.10251389408817346,1.0
"('Menagerie', 'Northern Flower')","(11, 41)",0.04448987819276068,1.0
"('Menagerie', 'Junkyard Golf Club')","(11, 44)",0.03780919745443027,1.0
"('Menagerie', 'Goodtime Games')","(11, 62)",0.22227661473781207,1.0
"('Motley', 'Manchester Art Gallery')","(12, 21)",0.020157226365652085,1.0
"('Motley', 'HOME')","(12, 22)",0.021107495608604258,0.85
"('Motley', 'Rogue Artists’ Studios')","(12, 23)",0.19443084631554697,1.0
"('Motley', 'Salford Museum and Art Gallery')","(12, 24)",0.11360036858928212,1.0
"('Motley', 'The Lowry')","(12, 25)",0.0962363578771561,1.0
"('Motley', 'The Whitworth')","(12, 26)",0.07213407435136925,1.0
"('Motley', 'Islington Mill')","(12, 27)",0.036686151985486797,1.0
"('Motley', 'Holden Gallery')","(12, 28)",0.04388516140179111,1.0
"('Motley', 'Castlefield Gallery')","(12, 29)",0.019638897687678177,1.0
"('Motley', 'Gallery Oldham')","(12, 30)",0.4099115961643678,1.0
"('Motley', 'Factory International')","(12, 31)",0.021222679759265124,0.85
"('Motley', 'Pottery Corner')","(12, 32)",0.17686526333976446,0.85
"('Motley', 'Seven Limes Pottery')","(12, 33)",0.0750712701932214,1.0
"('Motley', 'Clay Studio')","(12, 34)",0.05632504967316497,1.0
"('Motley', 'Boom Battle Bar')","(12, 35)",0.029746306908169436,1.0
"('Motley', 'Virtual Hideout')","(12, 36)",0.031934805770725945,1.0
"('Motley', 'DNA VR')","(12, 37)",0.01894779278371296,1.0
"('Motley', 'Sken Studios')","(12, 38)",0.27393670630921185,1.0
"('Motley', 'Cork and Canvas')","(12, 39)",0.06044288305929104,1.0
"('Motley', 'Ma Lumiere')","(12, 40)",0.0988855933423561,1.0
"('Motley', 'Northern Flower')","(12, 41)",0.03806836179341722,1.0
"('Motley', 'Junkyard Golf Club')","(12, 44)",0.021107495608604258,1.0
"('Motley', 'Goodtime Games')","(12, 62)",0.2081089642065252,1.0
"('La Bandera', 'Manchester Art Gallery')","(13, 21)",0.01592420882886515,1.0
"('La Bandera', 'HOME')","(13, 22)",0.026722722953321624,0.85
"('La Bandera', 'Rogue Artists’ Studios')","(13, 23)",0.1914648544360296,1.0
"('La Bandera', 'Salford Museum and Art Gallery')","(13, 24)",0.11760301782474732,1.0
"('La Bandera', 'The Lowry')","(13, 25)",0.10265787427649956,1.0
"('La Bandera', 'The Whitworth')","(13, 26)",0.0757047830218562,1.0
"('La Bandera', 'Islington Mill')","(13, 27)",0.03924899933769113,1.0
"('La Bandera', 'Holden Gallery')","(13, 28)",0.04823336308923892,1.0
"('La Bandera', 'Castlefield Gallery')","(13, 29)",0.02726984766896075,1.0
"('La Bandera', 'Gallery Oldham')","(13, 30)",0.4022230541077548,1.0
"('La Bandera', 'Factory International')","(13, 31)",0.027327439744291186,0.85
"('La Bandera', 'Pottery Corner')","(13, 32)",0.1851009301120166,0.85
"('La Bandera', 'Seven Limes Pottery')","(13, 33)",0.08255823998617791,1.0
"('La Bandera', 'Clay Studio')","(13, 34)",0.06338007890114321,1.0
"('La Bandera', 'Boom Battle Bar')","(13, 35)",0.02159702824891295,1.0
"('La Bandera', 'Virtual Hideout')","(13, 36)",0.024850980505082502,1.0
"('La Bandera', 'DNA VR')","(13, 37)",0.01212313185705647,1.0
"('La Bandera', 'Sken Studios')","(13, 38)",0.2821435770437988,1.0
"('La Bandera', 'Cork and Canvas')","(13, 39)",0.05379099835862585,1.0
"('La Bandera', 'Ma Lumiere')","(13, 40)",0.09151380770006047,1.0
"('La Bandera', 'Northern Flower')","(13, 41)",0.031099720678434646,1.0
"('La Bandera', 'Junkyard Golf Club')","(13, 44)",0.026722722953321624,1.0
"('La Bandera', 'Goodtime Games')","(13, 62)",0.21484723702018602,1.0
"('Fress', 'Manchester Art Gallery')","(14, 21)",0.022201745039882512,1.0
